player_id,player_name,first_name,last_name,salary
554,Marvin Williams,Marvin,Williams,14087500
555,Louis Williams,Louis,Williams,8000000
556,Deron Williams,Deron,Williams,5474787
557,Robert Williams,Robert,Williams,1656600
558,Kenrich Williams,Kenrich,Williams,838464
559,Johnathan Williams,Johnathan,Williams,127250
560,Troy Williams,Troy,Williams,77250
561,CJ Williams,CJ,Williams,77250
562,Alan Williams,Alan,Williams,77250
563,DJ Wilson,DJ,Wilson,2534280
564,Justise Winslow,Justise,Winslow,3448926
565,Christian Wood,Christian,Wood,1512601
566,Delon Wright,Delon,Wright,2536898
567,Guerschon Yabusele,Guerschon,Yabusele,2667600
568,Thaddeus Young,Thaddeus,Young,13764045
569,Trae Young,Trae,Young,5363280
570,Nick Young,Nick,Young,284020
